Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Purple Emoji (feat. J. Cole),Ty Dolla $ign,"Ty Dolla $ign, J. Cole, Joel Kibble, Hallerin Hill & Maxwell Bidstrup",Purple Emoji (feat. J. Cole) - Single,,,,,,R&B/Soul,5905381,163,1,1,1,1,2019,"5/26/19, 4:43 PM","5/26/19, 4:43 PM",256,44100,,Apple Music AAC audio file,,,26,"5/20/21, 10:21 AM",1,"6/4/19, 3:28 AM",,
Run Wild Run Free,Zacari,Zacari Pacaldo,Run Wild Run Free - EP,,,,,,R&B/Soul,6323214,175,1,1,7,7,2019,"5/26/19, 5:03 PM","5/26/19, 5:03 PM",256,44100,,Apple Music AAC audio file,,,40,"5/20/21, 10:24 AM",,,,
Lucid Dreams,Juice WRLD,"Juice WRLD, Nick Mira, Dominic Miller, Sting & Danny Snodgrass Jr.",Lucid Dreams - Single,,,,,,Hip-Hop/Rap,8482809,239,1,1,1,1,2017,"6/3/19, 10:23 PM","6/3/19, 10:23 PM",256,44100,,Apple Music AAC audio file,,,31,"5/20/21, 10:28 AM",,,,
Satisfaction (Isak Original),Benny Benassi & The Biz,,Satisfaction - Single,,,,,,Dance,14014492,399,1,1,2,11,2010,"6/7/19, 1:30 PM","6/7/19, 1:30 PM",256,44100,,Apple Music AAC audio file,,,13,"5/20/21, 10:35 AM",1,"6/22/19, 10:31 PM",,
World Hold On,Steve Edwards & Bob Sinclar,"Christophe Le Friant, Michael Tordjman & Stephen Neil Edwards",Made In Jamaiça,,,,,,Dance,9698379,278,1,1,3,13,2010,"6/7/19, 1:39 PM","6/7/19, 1:39 PM",256,44100,,Apple Music AAC audio file,,,10,"5/20/21, 10:39 AM",2,"8/5/19, 3:57 PM",,
Mambo No. 5 (A Little Bit Of...),Lou Bega,"Lou Bega, Dámaso Pérez Prado & Zippy",Mambo No. 5 (A Little Bit Of...) - EP,,,,,,Pop,8555609,220,1,1,1,4,1999,"6/7/19, 1:56 PM","6/7/19, 1:56 PM",256,44100,,Apple Music AAC audio file,,,34,"1/3/22, 8:06 AM",1,"10/13/20, 9:45 PM",,
Firestone,Am7,"Kyrre Gorvell Dahll, Martijn Konijnenburg & Conrad Sewell",Firestone - Single,,,,,,Dance,9787390,273,1,1,1,1,2015,"6/7/19, 2:02 PM","6/7/19, 2:02 PM",256,44100,,Apple Music AAC audio file,,,10,"5/20/21, 10:48 AM",,,,
Touch My Body (Seamus Haji & Paul Emanuel Club Mix),Mariah Carey,"Mariah Carey, Christopher Stewart, Terius Nash & Crystal Johnson",Touch My Body - EP,,,,,,Dance,20299683,586,1,1,5,10,2008,"6/8/19, 11:13 PM","6/8/19, 11:13 PM",256,44100,,Apple Music AAC audio file,,,6,"5/20/21, 10:57 AM",1,"8/5/19, 3:57 PM",,
Taki Taki (feat. Seba Bootleg),Jona Mix,Jona Mix,Taki Taki (feat. Seba Bootleg) - Single,,,,,,Urbano latino,5553025,150,1,1,1,1,2018,"6/8/19, 11:19 PM","6/8/19, 11:19 PM",256,44100,,Apple Music AAC audio file,,,5,"5/20/21, 11:00 AM",1,"11/27/20, 5:53 PM",,
Fireball (feat. John Ryan),Pitbull,"John Ryan, Armando C. Perez, Eric Frederic, Joe London & Andreas Schuller",Fireball (feat. John Ryan) - Single,,,,,,Pop,8584691,235,1,1,1,1,2014,"7/3/17, 7:41 PM","7/3/17, 7:41 PM",256,44100,,Apple Music AAC audio file,,,37,"6/4/21, 3:53 PM",3,"11/27/20, 5:53 PM",,
One Kiss,"Calvin Harris, Dua Lipa","Dua Lipa, Adam Wiles & Jessie Reyez",One Kiss - Single,,,,,,Dance,7649196,214,1,1,1,1,2018,"6/8/19, 11:26 PM","6/8/19, 11:26 PM",256,44100,,Apple Music AAC audio file,,,7,"5/20/21, 11:08 AM",1,"11/27/20, 5:54 PM",,
Stranger Looks,Dj Uro,,Stranger Looks - Single,,,,,,Electronic,14206213,413,1,1,1,1,2017,"6/8/19, 11:30 PM","6/8/19, 11:30 PM",256,44100,,AAC audio file,,,3,"6/30/19, 12:05 AM",1,"8/5/19, 3:58 PM",,
IDGAF,Dua Lipa,"Dua Lipa, Jason Dean, Joseph Kirkland, Larzz Principato, MNEK & Skyler Stonestreet",Dua Lipa (Deluxe),,,,,,Pop,7693676,217,1,1,5,16,2017,"6/8/19, 11:37 PM","6/8/19, 11:37 PM",256,44100,,Apple Music AAC audio file,,,7,"5/20/21, 11:11 AM",,"11/27/20, 5:54 PM",,
Bitch,Meredith Brooks,,Blurring the Edges,,,,,,Pop,6928384,252,,,2,,1997,"1/24/08, 2:43 PM","8/28/11, 5:35 AM",256,44100,,AAC audio file,,,7,"5/20/21, 11:15 AM",,"11/27/20, 6:03 PM",,
Dirty Laundry,Don Henley,"Danny ""Kootch"" Kortchmar/Don Henley",I Can't Stand Still,,,,,,Mainstream Rock,9191424,336,1,1,6,11,1982,"5/16/10, 11:57 PM","8/28/11, 5:31 AM",256,44100,,AAC audio file,,Cleaned by TuneUp!,9,"5/20/21, 11:21 AM",,"11/27/20, 5:54 PM",,
