Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Cake by the Ocean,DNCE,"Robin Fredriksson, Mattias Larsson, Justin Tranter & Joe Jonas",DNCE,,,,,,Pop,8094823,219,1,1,3,14,2016,"12/6/17, 5:43 PM","12/6/17, 5:43 PM",256,44100,,Apple Music AAC audio file,,,29,"6/4/21, 4:26 PM",1,"6/5/21, 4:34 PM",,
Apologize,OneRepublic,Ryan Tedder,Dreaming Out Loud,,,,,,Pop,7227967,205,1,1,4,13,2006,"11/4/17, 5:46 AM","11/4/17, 5:46 AM",256,44100,,Apple Music AAC audio file,,,58,"6/4/21, 4:29 PM",5,"12/19/18, 5:20 PM",,
Power Trip (feat. Miguel),J. Cole,Jermaine Cole & Hubert Laws,Born Sinner (Deluxe Version),,,,,,Hip-Hop/Rap,8472821,241,1,1,4,21,2013,"12/7/17, 12:59 PM","12/7/17, 12:59 PM",256,44100,,Apple Music AAC audio file,,,33,"6/4/21, 4:33 PM",1,"12/14/18, 4:05 PM",,
Down the Road,C2C,"Sylvain Richard, Guillaume Jaulin, Thomas Le Vexier, Pierre Forestier & Arnaud Fradin",Tetra,,,,,,Electronic,7412052,207,1,1,2,14,2012,"4/9/18, 4:00 PM","4/9/18, 4:00 PM",256,44100,,Apple Music AAC audio file,,,34,"6/4/21, 4:37 PM",1,"12/14/18, 4:05 PM",,
Good Times Roll,GRiZ & Big Gigantic,Grant Kwiecinski & Dominic Lalli,Good Times Roll - Single,,,,,,Electronic,8684759,243,1,1,1,1,2015,"4/9/18, 4:01 PM","4/9/18, 4:01 PM",256,44100,,Apple Music AAC audio file,,,50,"6/4/21, 4:41 PM",,,,
A Fine Way to Die (feat. Orlando Napier),GRiZ,Grant Kwiecinski,Say It Loud,,,,,,Electronic,14656426,400,1,1,6,11,2015,"4/9/18, 4:02 PM","4/9/18, 4:02 PM",256,44100,,Apple Music AAC audio file,,,65,"6/4/21, 4:47 PM",,,,
New Rules,Dua Lipa,"Caroline Ailin, Emily Warren & Ian Kirkpatrick",Dua Lipa (Deluxe),,,,,,Pop,7565191,209,1,1,10,16,2017,"4/16/18, 4:36 PM","4/16/18, 4:36 PM",256,44100,,Apple Music AAC audio file,,,58,"6/4/21, 4:51 PM",,,,
Keep Your Head,David O'Dowda,,Velvet Ears: David O’dowda,,,,,,Alternative,5297184,137,1,1,1,11,2015,"4/27/18, 8:28 PM","4/27/18, 8:28 PM",256,44100,,Apple Music AAC audio file,,,80,"6/4/21, 4:53 PM",1,"12/14/18, 4:14 PM",,
Classical Gas,Mason Williams,Mason Williams,Rhino Hi-Five: Mason Williams - EP,,,,,,Rock,6955530,186,1,1,1,5,1968,"5/16/18, 8:26 PM","5/16/18, 8:26 PM",256,44100,,Apple Music AAC audio file,,,51,"6/4/21, 4:56 PM",2,"12/14/18, 4:14 PM",,
Good Old Days (feat. Kesha),Macklemore,"Andrew Joslyn, Ben Haggerty, Joshua Karp, Kesha Sebert, Sam Wishkoski & Tyler Andrews",GEMINI,,,,,,Hip-Hop/Rap,8422584,240,1,1,6,16,2017,"5/30/18, 2:39 PM","5/30/18, 2:39 PM",256,44100,,Apple Music AAC audio file,,,33,"6/28/21, 9:54 PM",2,"5/14/21, 11:39 AM",,
"Baby, What a Big Surprise",Chicago,Peter Cetera,Chicago XI,,,,,,Rock,6677994,183,1,1,2,13,1977,"6/10/18, 1:51 AM","6/10/18, 1:51 AM",256,44100,,Apple Music AAC audio file,,,29,"6/28/21, 9:57 PM",2,"5/14/21, 11:39 AM",,
Urgent,Foreigner,Mick Jones,4 (Expanded Version),,,,,,Rock,9394147,271,1,1,6,12,1981,"7/8/18, 6:56 PM","7/8/18, 6:56 PM",256,44100,,Apple Music AAC audio file,,,21,"6/28/21, 10:02 PM",2,"3/20/21, 5:51 PM",,
Superman,Eminem,"Marshall Mathers, Jeffrey Bass & Steve King",The Eminem Show,,,,,,Hip-Hop/Rap,12094767,350,1,1,13,20,2002,"6/30/18, 9:04 PM","6/30/18, 9:04 PM",256,44100,,Apple Music AAC audio file,,,40,"6/28/21, 10:19 PM",2,"2/21/19, 9:55 AM",,
Wait (feat. A Boogie wit da Hoodie),Maroon 5,"Adam Levine, Jacob Kasher Hindlin, John Ryan & Ammar Malik",Wait (feat. A Boogie wit da Hoodie) - Single,,,,,,Pop,7145471,190,1,1,1,1,2018,"6/30/18, 9:02 PM","6/30/18, 9:02 PM",256,44100,,Apple Music AAC audio file,,,20,"6/28/21, 10:13 PM",2,"5/14/21, 11:45 AM",,
Superman,Eminem,"Marshall Mathers, Jeffrey Bass & Steve King",The Eminem Show,,,,,,Hip-Hop/Rap,12094767,350,1,1,13,20,2002,"6/30/18, 9:04 PM","6/30/18, 9:04 PM",256,44100,,Apple Music AAC audio file,,,40,"6/28/21, 10:19 PM",2,"2/21/19, 9:55 AM",,
To My Love (Tainy Remix),Bomba Estéreo,"Liliana Saumet, Julian Salazar, Simón Mejía, Eric Frederic & Joe Spargur",Amanecer (Remixed),,,,,,Pop Latino,8857823,251,1,1,9,12,2016,"8/13/18, 12:21 AM","8/13/18, 12:21 AM",256,44100,,Apple Music AAC audio file,,,18,"6/28/21, 10:23 PM",1,"8/23/18, 7:36 PM",,
